from,to,source
1044,1823-01-25,"Th OC-91"
1878,1823-01-26,"Th OC-91"
544,1823-01-26,"Th OC-91"
1044,1823-01-27,"Th OC-91"
1144,1823-01-27,"Th OC-91"
729,1823-01-28,"Th OC-91"
706,1823-01-28,"Th OC-91"
1803,1823-01-29,"Th OC-91"
1044,1823-01-29,"Th OC-91"
1820,1823-01-30,"Th OC-91"
284,1823-01-30,"Th OC-91"
1044,1823-01-31,"Th OC-91"
343,1823-01-31,"Th OC-91"
1820,1823-02-01,"Th OC-91"
640,1823-02-01,"Th OC-91"
1820,1823-02-02,"Th OC-91"
1631,1823-02-02,"Th OC-91"
449,1823-02-02,"Th OC-91"
926,1823-02-03,"Th OC-91"
1664,1823-02-03,"Th OC-91"
1527,1823-02-04,"Th OC-91"
1170,1823-02-04,"Th OC-91"
673,1823-02-04,"Th OC-91"
1213,1823-02-05,"Th OC-91"
1081,1823-02-05,"Th OC-91"
360,1823-02-05,"Th OC-91"
564,1823-02-06,"Th OC-91"
51,1823-02-06,"Th OC-91"
706,1823-02-06,"Th OC-91"
1820,1823-02-07,"Th OC-91"
1399,1823-02-07,"Th OC-91"
1044,1823-02-08,"Th OC-91"
1386,1823-02-08,"Th OC-91"
1266,1823-02-09,"Th OC-91"
1664,1823-02-09,"Th OC-91"
706,1823-02-09,"Th OC-91"
1820,1823-02-10,"Th OC-91"
1470,1823-02-10,"Th OC-91"
284,1823-02-10,"Th OC-91"
1527,1823-02-11,"Th OC-91"
1170,1823-02-11,"Th OC-91"
651,1823-02-11,"Th OC-91"
926,1823-02-12,"Th OC-91"
1044,1823-02-12,"Th OC-91"
1044,1823-02-14,"Th OC-91"
1280,1823-02-14,"Th OC-91"
1403,1823-02-15,"Th OC-91"
449,1823-02-15,"Th OC-91"
1639,1823-02-15,"Th OC-91"
284,1823-02-16,"Th OC-91"
952,1823-02-16,"Th OC-91"
651,1823-02-16,"Th OC-91"
1266,1823-02-17,"Th OC-91"
1044,1823-02-17,"Th OC-91"
1878,1823-02-18,"Th OC-91"
1399,1823-02-18,"Th OC-91"
1151,1823-02-19,"Th OC-91"
978,1823-02-19,"Th OC-91"
449,1823-02-19,"Th OC-91"
1044,1823-02-20,"Th OC-91"
343,1823-02-20,"Th OC-91"
1820,1823-02-21,"Th OC-91"
1213,1823-02-21,"Th OC-91"
614,1823-02-21,"Th OC-91"
1044,1823-02-22,"Th OC-91"
1383,1823-02-23,"Th OC-91"
979,1823-02-23,"Th OC-91"
1044,1823-02-24,"Th OC-91"
284,1823-02-24,"Th OC-91"
1664,1823-02-25,"Th OC-91"
51,1823-02-25,"Th OC-91"
1856,1823-02-26,"Th OC-91"
343,1823-02-26,"Th OC-91"
706,1823-02-26,"Th OC-91"
1044,1823-02-27,"Th OC-91"
978,1823-02-27,"Th OC-91"
1631,1823-02-28,"Th OC-91"
1470,1823-02-28,"Th OC-91"
1280,1823-02-28,"Th OC-91"
1044,1823-03-01,"Th OC-91"
1144,1823-03-01,"Th OC-91"
1820,1823-03-02,"Th OC-91"
1399,1823-03-02,"Th OC-91"
543,1823-03-03,"Th OC-91"
1044,1823-03-03,"Th OC-91"
1403,1823-03-04,"Th OC-91"
1081,1823-03-04,"Th OC-91"
640,1823-03-04,"Th OC-91"
1044,1823-03-05,"Th OC-91"
614,1823-03-05,"Th OC-91"
1664,1823-03-06,"Th OC-91"
978,1823-03-06,"Th OC-91"
449,1823-03-06,"Th OC-91"
1550,1823-03-07,"Th OC-91"
871,1823-03-07,"Th OC-91"
1044,1823-03-08,"Th OC-91"
1280,1823-03-08,"Th OC-91"
554,1823-03-09,"Th OC-91"
995,1823-03-09,"Th OC-91"
153,1823-03-09,"Th OC-91"
225,1823-03-10,"Th OC-91"
971,1823-03-10,"Th OC-91"
1044,1823-03-11,"Th OC-91"
978,1823-03-11,"Th OC-91"
1266,1823-03-12,"Th OC-91"
1527,1823-03-12,"Th OC-91"
971,1823-03-12,"Th OC-91"
1170,1823-03-13,"Th OC-91"
1115,1823-03-13,"Th OC-91"
360,1823-03-13,"Th OC-91"
1144,1823-03-14,"Th OC-91"
936,1823-03-14,"Th OC-91"
971,1823-03-14,"Th OC-91"
1803,1823-03-15,"Th OC-91"
1044,1823-03-15,"Th OC-91"
1820,1823-03-16,"Th OC-91"
971,1823-03-16,"Th OC-91"
51,1823-03-17,"Th OC-91"
651,1823-03-17,"Th OC-91"
1044,1823-03-18,"Th OC-91"
449,1823-03-18,"Th OC-91"
926,1823-03-19,"Th OC-91"
1664,1823-03-19,"Th OC-91"
1044,1823-03-20,"Th OC-91"
1144,1823-03-20,"Th OC-91"
1086,1823-03-21,"Th OC-91"
1067,1823-03-21,"Th OC-91"
1856,1823-03-22,"Th OC-91"
1280,1823-03-22,"Th OC-91"
1310,1823-03-22,"Th OC-91"
1067,1823-03-23,"Th OC-91"
971,1823-03-23,"Th OC-91"
706,1823-03-23,"Th OC-91"
971,1823-03-31,"Th OC-91"
651,1823-03-31,"Th OC-91"
1044,1823-04-01,"Th OC-91"
449,1823-04-01,"Th OC-91"
1664,1823-04-02,"Th OC-91"
971,1823-04-02,"Th OC-91"
1527,1823-04-03,"Th OC-91"
1044,1823-04-03,"Th OC-91"
1067,1823-04-04,"Th OC-91"
1170,1823-04-04,"Th OC-91"
1044,1823-04-05,"Th OC-91"
971,1823-04-05,"Th OC-91"
1044,1823-04-06,"Th OC-91"
614,1823-04-06,"Th OC-91"
1878,1823-04-07,"Th OC-91"
1470,1823-04-07,"Th OC-91"
543,1823-04-08,"Th OC-91"
1044,1823-04-08,"Th OC-91"
1664,1823-04-09,"Th OC-91"
1470,1823-04-09,"Th OC-91"
1004,1823-04-10,"Th OC-91"
706,1823-04-10,"Th OC-91"
1527,1823-04-11,"Th OC-91"
1399,1823-04-11,"Th OC-91"
1044,1823-04-12,"Th OC-91"
1310,1823-04-12,"Th OC-91"
554,1823-04-13,"Th OC-91"
1386,1823-04-13,"Th OC-91"
871,1823-04-13,"Th OC-91"
926,1823-04-14,"Th OC-91"
449,1823-04-14,"Th OC-91"
57,1823-04-14,"Th OC-91"
1264,1823-04-15,"Th OC-91"
1144,1823-04-15,"Th OC-91"
284,1823-04-15,"Th OC-91"
1055,1823-04-16,"Th OC-91"
640,1823-04-16,"Th OC-91"
57,1823-04-16,"Th OC-91"
1044,1823-04-17,"Th OC-91"
952,1823-04-17,"Th OC-91"
1170,1823-04-18,"Th OC-91"
822,1823-04-18,"Th OC-91"
57,1823-04-18,"Th OC-91"
1233,1823-04-19,"Th OC-91"
876,1823-04-19,"Th OC-91"
549,1823-04-19,"Th OC-91"
1067,1823-04-20,"Th OC-91"
651,1823-04-20,"Th OC-91"
1044,1823-04-21,"Th OC-91"
343,1823-04-21,"Th OC-91"
1266,1823-04-22,"Th OC-91"
706,1823-04-22,"Th OC-91"
57,1823-04-22,"Th OC-91"
449,1823-04-23,"Th OC-91"
971,1823-04-23,"Th OC-91"
549,1823-04-23,"Th OC-91"
1044,1823-04-24,"Th OC-91"
57,1823-04-24,"Th OC-91"
1470,1823-04-25,"Th OC-91"
979,1823-04-25,"Th OC-91"
549,1823-04-25,"Th OC-91"
1664,1823-04-26,"Th OC-91"
51,1823-04-26,"Th OC-91"
1264,1823-04-27,"Th OC-91"
822,1823-04-27,"Th OC-91"
549,1823-04-27,"Th OC-91"
1266,1823-04-28,"Th OC-91"
1105,1823-04-28,"Th OC-91"
449,1823-04-28,"Th OC-91"
1044,1823-04-29,"Th OC-91"
57,1823-04-29,"Th OC-91"
1280,1823-04-30,"Th OC-91"
968,1823-04-30,"Th OC-91"
1803,1823-05-01,"Th OC-91"
1527,1823-05-01,"Th OC-91"
1105,1823-05-01,"Th OC-91"
449,1823-05-02,"Th OC-91"
614,1823-05-02,"Th OC-91"
640,1823-05-02,"Th OC-91"
1856,1823-05-03,"Th OC-114"
1144,1823-05-03,"Th OC-114"
343,1823-05-03,"Th OC-114"
1550,1823-05-04,"Th OC-114"
29,1823-05-04,"Th OC-114"
762,1823-05-05,"Th OC-114"
876,1823-05-05,"Th OC-114"
1386,1823-05-06,"Th OC-114"
284,1823-05-06,"Th OC-114"
549,1823-05-06,"Th OC-114"
696,1823-05-07,"Th OC-114"
1383,1823-05-07,"Th OC-114"
1264,1823-05-08,"Th OC-114"
1399,1823-05-08,"Th OC-114"
449,1823-05-08,"Th OC-114"
1803,1823-05-09,"Th OC-114"
1649,1823-05-09,"Th OC-114"
225,1823-05-09,"Th OC-114"
1266,1823-05-10,"Th OC-114"
1664,1823-05-10,"Th OC-114"
1399,1823-05-11,"Th OC-114"
1383,1823-05-11,"Th OC-114"
1797,1823-05-12,"Th OC-114"
1244,1823-05-12,"Th OC-114"
978,1823-05-12,"Th OC-114"
1081,1823-05-13,"Th OC-114"
926,1823-05-13,"Th OC-114"
729,1823-05-13,"Th OC-114"
1803,1823-05-14,"Th OC-114"
1244,1823-05-14,"Th OC-114"
706,1823-05-14,"Th OC-114"
1086,1823-05-15,"Th OC-114"
1664,1823-05-15,"Th OC-114"
1527,1823-05-16,"Th OC-114"
1470,1823-05-16,"Th OC-114"
1244,1823-05-16,"Th OC-114"
1280,1823-05-17,"Th OC-114"
968,1823-05-17,"Th OC-114"
971,1823-05-19,"Th OC-114"
694,1823-05-19,"Th OC-114"
1244,1823-05-20,"Th OC-114"
990,1823-05-20,"Th OC-114"
1280,1823-05-21,"Th OC-114"
284,1823-05-21,"Th OC-114"
876,1823-05-21,"Th OC-114"
1649,1823-05-22,"Th OC-114"
1470,1823-05-22,"Th OC-114"
614,1823-05-22,"Th OC-114"
449,1823-05-23,"Th OC-114"
968,1823-05-23,"Th OC-114"
1664,1823-05-24,"Th OC-114"
1639,1823-05-24,"Th OC-114"
1086,1823-05-25,"Th OC-114"
1067,1823-05-25,"Th OC-114"
1803,1823-05-26,"Th OC-114"
284,1823-05-26,"Th OC-114"
651,1823-05-26,"Th OC-114"
1820,1823-05-27,"Th OC-114"
225,1823-05-27,"Th OC-114"
1878,1823-05-28,"Th OC-114"
1244,1823-05-28,"Th OC-114"
876,1823-05-29,"Th OC-114"
990,1823-05-29,"Th OC-114"
1244,1823-05-30,"Th OC-114"
449,1823-05-30,"Th OC-114"
673,1823-05-30,"Th OC-114"
140,1823-05-31,"Th OC-114"
729,1823-05-31,"Th OC-114"
1664,1823-06-01,"Th OC-114"
762,1823-06-01,"Th OC-114"
1108,1823-06-02,"Th OC-114"
1527,1823-06-02,"Th OC-114"
1470,1823-06-02,"Th OC-114"
1631,1823-06-03,"Th OC-114"
284,1823-06-03,"Th OC-114"
140,1823-06-03,"Th OC-114"
1244,1823-06-04,"Th OC-114"
651,1823-06-04,"Th OC-114"
1803,1823-06-05,"Th OC-114"
554,1823-06-05,"Th OC-114"
1386,1823-06-05,"Th OC-114"
1878,1823-06-06,"Th OC-114"
762,1823-06-06,"Th OC-114"
1527,1823-06-07,"Th OC-114"
140,1823-06-07,"Th OC-114"
61,1823-06-07,"Th OC-114"
1399,1823-06-08,"Th OC-114"
968,1823-06-08,"Th OC-114"
1110,1823-06-09,"Th OC-114"
140,1823-06-09,"Th OC-114"
1649,1823-06-10,"Th OC-114"
1280,1823-06-10,"Th OC-114"
876,1823-06-10,"Th OC-114"
1244,1823-06-11,"Th OC-114"
343,1823-06-11,"Th OC-114"
153,1823-06-11,"Th OC-114"
140,1823-06-12,"Th OC-114"
48,1823-06-12,"Th OC-114"
1244,1823-06-13,"Th OC-114"
449,1823-06-13,"Th OC-114"
673,1823-06-13,"Th OC-114"
1386,1823-06-14,"Th OC-114"
931,1823-06-14,"Th OC-114"
554,1823-06-15,"Th OC-114"
1664,1823-06-15,"Th OC-114"
48,1823-06-15,"Th OC-114"
1266,1823-06-16,"Th OC-114"
140,1823-06-16,"Th OC-114"
640,1823-06-16,"Th OC-114"
1856,1823-06-17,"Th OC-114"
1244,1823-06-17,"Th OC-114"
978,1823-06-17,"Th OC-114"
1110,1823-06-18,"Th OC-114"
976,1823-06-18,"Th OC-114"
48,1823-06-18,"Th OC-114"
1878,1823-06-19,"Th OC-114"
1470,1823-06-19,"Th OC-114"
1856,1823-06-20,"Th OC-114"
449,1823-06-20,"Th OC-114"
48,1823-06-20,"Th OC-114"
1244,1823-06-21,"Th OC-114"
284,1823-06-21,"Th OC-114"
228,1823-06-21,"Th OC-114"
1144,1823-06-22,"Th OC-114"
876,1823-06-22,"Th OC-114"
157,1823-06-22,"Th OC-114"
1713,1823-06-23,"Th OC-114"
1244,1823-06-23,"Th OC-114"
225,1823-06-23,"Th OC-114"
1856,1823-06-24,"Th OC-114"
762,1823-06-24,"Th OC-114"
1244,1823-06-25,"Th OC-114"
651,1823-06-25,"Th OC-114"
1086,1823-06-26,"Th OC-114"
543,1823-06-26,"Th OC-114"
48,1823-06-26,"Th OC-114"
1067,1823-06-27,"Th OC-114"
971,1823-06-27,"Th OC-114"
1383,1823-06-28,"Th OC-114"
976,1823-06-28,"Th OC-114"
1649,1823-06-29,"Th OC-114"
284,1823-06-29,"Th OC-114"
651,1823-06-29,"Th OC-114"
1244,1823-06-30,"Th OC-114"
140,1823-06-30,"Th OC-114"
48,1823-06-30,"Th OC-114"
1086,1823-07-01,"Th OC-114"
431,1823-07-01,"Th OC-114"
1527,1823-07-02,"Th OC-114"
1244,1823-07-02,"Th OC-114"
1383,1823-07-03,"Th OC-114"
449,1823-07-03,"Th OC-114"
431,1823-07-04,"Th OC-114"
225,1823-07-04,"Th OC-114"
1266,1823-07-05,"Th OC-114"
1655,1823-07-05,"Th OC-114"
1527,1823-07-05,"Th OC-114"
431,1823-07-06,"Th OC-114"
968,1823-07-06,"Th OC-114"
1655,1823-07-07,"Th OC-114"
976,1823-07-07,"Th OC-114"
48,1823-07-07,"Th OC-114"
431,1823-07-08,"Th OC-114"
140,1823-07-08,"Th OC-114"
1797,1823-07-09,"Th OC-114"
1655,1823-07-09,"Th OC-114"
1055,1823-07-09,"Th OC-114"
431,1823-07-10,"Th OC-114"
29,1823-07-10,"Th OC-114"
1655,1823-07-11,"Th OC-114"
1244,1823-07-11,"Th OC-114"
343,1823-07-11,"Th OC-114"
1856,1823-07-12,"Th OC-114"
431,1823-07-12,"Th OC-114"
1067,1823-07-13,"Th OC-114"
1244,1823-07-13,"Th OC-114"
284,1823-07-13,"Th OC-114"
1655,1823-07-14,"Th OC-114"
876,1823-07-14,"Th OC-114"
153,1823-07-14,"Th OC-114"
1470,1823-07-15,"Th OC-114"
219,1823-07-15,"Th OC-114"
968,1823-07-16,"Th OC-114"
640,1823-07-16,"Th OC-114"
48,1823-07-16,"Th OC-114"
1244,1823-07-17,"Th OC-114"
431,1823-07-17,"Th OC-114"
1055,1823-07-17,"Th OC-114"
1797,1823-07-18,"Th OC-114"
1280,1823-07-18,"Th OC-114"
1144,1823-07-18,"Th OC-114"
1655,1823-07-19,"Th OC-114"
1664,1823-07-19,"Th OC-114"
449,1823-07-19,"Th OC-114"
1264,1823-07-20,"Th OC-114"
1383,1823-07-20,"Th OC-114"
1655,1823-07-21,"Th OC-114"
343,1823-07-21,"Th OC-114"
549,1823-07-21,"Th OC-114"
1244,1823-07-22,"Th OC-114"
431,1823-07-22,"Th OC-114"
976,1823-07-22,"Th OC-114"
762,1823-07-23,"Th OC-114"
614,1823-07-23,"Th OC-114"
1044,1823-07-24,"Th OC-114"
1105,1823-07-24,"Th OC-114"
1086,1823-07-25,"Th OC-114"
1655,1823-07-25,"Th OC-114"
926,1823-07-25,"Th OC-114"
1044,1823-07-26,"Th OC-114"
1244,1823-07-26,"Th OC-114"
431,1823-07-27,"Th OC-114"
284,1823-07-27,"Th OC-114"
936,1823-07-27,"Th OC-114"
1655,1823-07-28,"Th OC-114"
225,1823-07-28,"Th OC-114"
876,1823-07-28,"Th OC-114"
1044,1823-07-29,"Th OC-114"
1399,1823-07-29,"Th OC-114"
1655,1823-07-30,"Th OC-114"
926,1823-07-30,"Th OC-114"
140,1823-07-30,"Th OC-114"
1213,1823-07-31,"Th OC-114"
1244,1823-07-31,"Th OC-114"
549,1823-07-31,"Th OC-114"
1655,1823-08-01,"Th OC-114"
1310,1823-08-01,"Th OC-114"
651,1823-08-01,"Th OC-114"
1803,1823-08-02,"Th OC-114"
1138,1823-08-02,"Th OC-114"
706,1823-08-02,"Th OC-114"
1044,1823-08-03,"Th OC-114"
1244,1823-08-03,"Th OC-114"
1655,1823-08-04,"Th OC-114"
1138,1823-08-04,"Th OC-114"
640,1823-08-04,"Th OC-114"
449,1823-08-05,"Th OC-114"
431,1823-08-05,"Th OC-114"
979,1823-08-05,"Th OC-114"
1213,1823-08-06,"Th OC-114"
1280,1823-08-06,"Th OC-114"
1138,1823-08-06,"Th OC-114"
140,1823-08-07,"Th OC-114"
36,1823-08-07,"Th OC-114"
1044,1823-08-08,"Th OC-114"
978,1823-08-08,"Th OC-114"
1664,1823-08-09,"Th OC-114"
1470,1823-08-09,"Th OC-114"
431,1823-08-10,"Th OC-114"
871,1823-08-10,"Th OC-114"
449,1823-08-11,"Th OC-114"
225,1823-08-11,"Th OC-114"
51,1823-08-11,"Th OC-114"
822,1823-08-12,"Th OC-114"
976,1823-08-12,"Th OC-114"
952,1823-08-12,"Th OC-114"
1550,1823-08-13,"Th OC-114"
762,1823-08-13,"Th OC-114"
979,1823-08-14,"Th OC-114"
990,1823-08-14,"Th OC-114"
871,1823-08-15,"Th OC-114"
16,1823-08-15,"Th OC-114"
1664,1823-08-16,"Th OC-114"
964,1823-08-16,"Th OC-114"
1878,1823-08-17,"Th OC-114"
554,1823-08-17,"Th OC-114"
706,1823-08-17,"Th OC-114"
1244,1823-08-18,"Th OC-114"
1105,1823-08-18,"Th OC-114"
979,1823-08-18,"Th OC-114"
1144,1823-08-19,"Th OC-114"
225,1823-08-19,"Th OC-114"
964,1823-08-19,"Th OC-114"
1664,1823-08-20,"Th OC-114"
16,1823-08-20,"Th OC-114"
1044,1823-08-21,"Th OC-114"
952,1823-08-21,"Th OC-114"
140,1823-08-22,"Th OC-114"
964,1823-08-22,"Th OC-114"
1664,1823-08-23,"Th OC-114"
36,1823-08-23,"Th OC-114"
791,1823-08-24,"Th OC-114"
29,1823-08-24,"Th OC-114"
791,1823-08-26,"Th OC-114"
1244,1823-08-26,"Th OC-114"
140,1823-08-26,"Th OC-114"
1803,1823-08-27,"Th OC-114"
791,1823-08-27,"Th OC-114"
964,1823-08-27,"Th OC-114"
1527,1823-08-28,"Th OC-114"
449,1823-08-28,"Th OC-114"
549,1823-08-28,"Th OC-114"
225,1823-08-29,"Th OC-114"
936,1823-08-29,"Th OC-114"
640,1823-08-29,"Th OC-114"
1164,1823-08-30,"Th OC-114"
48,1823-08-30,"Th OC-114"
791,1823-08-31,"Th OC-114"
932,1823-08-31,"Th OC-114"
964,1823-08-31,"Th OC-114"
1164,1823-09-01,"Th OC-114"
554,1823-09-01,"Th OC-114"
673,1823-09-02,"Th OC-114"
140,1823-09-02,"Th OC-114"
1164,1823-09-03,"Th OC-114"
36,1823-09-03,"Th OC-114"
1383,1823-09-04,"Th OC-114"
1105,1823-09-04,"Th OC-114"
1664,1823-09-05,"Th OC-114"
284,1823-09-05,"Th OC-114"
1164,1823-09-06,"Th OC-114"
1244,1823-09-06,"Th OC-114"
968,1823-09-07,"Th OC-114"
706,1823-09-07,"Th OC-114"
640,1823-09-07,"Th OC-114"
431,1823-09-08,"Th OC-114"
964,1823-09-08,"Th OC-114"
1213,1823-09-09,"Th OC-114"
936,1823-09-09,"Th OC-114"
48,1823-09-09,"Th OC-114"
1044,1823-09-10,"Th OC-114"
706,1823-09-10,"Th OC-114"
1878,1823-09-11,"Th OC-114"
1386,1823-09-11,"Th OC-114"
876,1823-09-12,"Th OC-114"
140,1823-09-12,"Th OC-114"
1664,1823-09-13,"Th OC-114"
964,1823-09-13,"Th OC-114"
225,1823-09-14,"Th OC-114"
140,1823-09-14,"Th OC-114"
48,1823-09-14,"Th OC-114"
1213,1823-09-15,"Th OC-114"
554,1823-09-15,"Th OC-114"
979,1823-09-15,"Th OC-114"
1527,1823-09-16,"Th OC-114"
1821,1823-09-16,"Th OC-114"
16,1823-09-16,"Th OC-114"
1044,1823-09-17,"Th OC-114"
228,1823-09-17,"Th OC-114"
1821,1823-09-18,"Th OC-114"
1713,1823-09-18,"Th OC-114"
1470,1823-09-18,"Th OC-114"
1803,1823-09-19,"Th OC-114"
1649,1823-09-19,"Th OC-114"
1550,1823-09-19,"Th OC-114"
1821,1823-09-20,"Th OC-114"
640,1823-09-20,"Th OC-114"
48,1823-09-20,"Th OC-114"
1664,1823-09-21,"Th OC-114"
964,1823-09-21,"Th OC-114"
1655,1823-09-22,"Th OC-114"
554,1823-09-22,"Th OC-114"
932,1823-09-22,"Th OC-114"
1821,1823-09-23,"Th OC-114"
225,1823-09-23,"Th OC-114"
16,1823-09-23,"Th OC-114"
1878,1823-09-24,"Th OC-114"
1655,1823-09-24,"Th OC-114"
1713,1823-09-24,"Th OC-114"
1086,1823-09-25,"Th OC-114"
1110,1823-09-25,"Th OC-114"
1067,1823-09-26,"Th OC-114"
1244,1823-09-26,"Th OC-114"
1164,1823-09-27,"Th OC-114"
1004,1823-09-27,"Th OC-114"
1399,1823-09-28,"Th OC-114"
1055,1823-09-28,"Th OC-114"
706,1823-09-28,"Th OC-114"
1164,1823-09-29,"Th OC-114"
51,1823-09-29,"Th OC-114"
1213,1823-09-30,"Th OC-114"
1821,1823-09-30,"Th OC-114"
1713,1823-09-30,"Th OC-114"
964,1823-10-01,"Th OC-114"
729,1823-10-01,"Th OC-114"
1108,1823-10-02,"Th OC-114"
1170,1823-10-02,"Th OC-114"
1244,1823-10-02,"Th OC-114"
1821,1823-10-03,"Th OC-114"
651,1823-10-03,"Th OC-114"
1266,1823-10-04,"Th OC-114"
1664,1823-10-04,"Th OC-114"
1144,1823-10-05,"Th OC-114"
140,1823-10-05,"Th OC-114"
640,1823-10-05,"Th OC-114"
1655,1823-10-06,"Th OC-114"
1244,1823-10-06,"Th OC-114"
449,1823-10-06,"Th OC-114"
1821,1823-10-07,"Th OC-114"
284,1823-10-07,"Th OC-114"
1310,1823-10-07,"Th OC-114"
1260,1823-10-08,"Th OC-114"
343,1823-10-08,"Th OC-114"
1550,1823-10-09,"Th OC-114"
614,1823-10-09,"Th OC-114"
1803,1823-10-10,"Th OC-114"
1260,1823-10-10,"Th OC-114"
1260,1823-10-11,"Th OC-114"
1055,1823-10-11,"Th OC-114"
1264,1823-10-12,"Th OC-114"
791,1823-10-12,"Th OC-114"
1664,1823-10-12,"Th OC-114"
225,1823-10-13,"Th OC-114"
1260,1823-10-13,"Th OC-114"
1164,1823-10-14,"Th OC-114"
1086,1823-10-14,"Th OC-114"
1649,1823-10-15,"Th OC-114"
1260,1823-10-15,"Th OC-114"
1631,1823-10-17,"Th OC-114"
1260,1823-10-17,"Th OC-114"
1164,1823-10-18,"Th OC-114"
1244,1823-10-18,"Th OC-114"
1055,1823-10-19,"Th OC-114"
964,1823-10-19,"Th OC-114"
549,1823-10-19,"Th OC-114"
543,1823-10-20,"Th OC-114"
1260,1823-10-20,"Th OC-114"
1713,1823-10-21,"Th OC-114"
1399,1823-10-21,"Th OC-114"
978,1823-10-21,"Th OC-114"
449,1823-10-22,"Th OC-114"
1260,1823-10-22,"Th OC-114"
1856,1823-10-23,"Th OC-114"
1821,1823-10-23,"Th OC-114"
1244,1823-10-23,"Th OC-114"
1470,1823-10-24,"Th OC-114"
1260,1823-10-24,"Th OC-114"
1655,1823-10-25,"Th OC-114"
36,1823-10-25,"Th OC-114"
549,1823-10-25,"Th OC-114"
1164,1823-10-26,"Th OC-114"
1527,1823-10-26,"Th OC-114"
932,1823-10-26,"Th OC-114"
1144,1823-10-27,"Th OC-114"
1260,1823-10-27,"Th OC-114"
1164,1823-10-28,"Th OC-114"
219,1823-10-28,"Th OC-114"
1266,1823-10-29,"Th OC-114"
1260,1823-10-29,"Th OC-114"
1044,1823-10-30,"Th OC-114"
1105,1823-10-30,"Th OC-114"
1260,1823-10-31,"Th OC-114"
343,1823-10-31,"Th OC-114"
1664,1823-11-02,"Th OC-114"
288,1823-11-02,"Th OC-114"
1655,1823-11-03,"Th OC-114"
449,1823-11-03,"Th OC-114"
964,1823-11-03,"Th OC-114"
1280,1823-11-04,"Th OC-114"
1260,1823-11-04,"Th OC-114"
1164,1823-11-05,"Th OC-114"
1821,1823-11-05,"Th OC-114"
1631,1823-11-05,"Th OC-114"
1470,1823-11-06,"Th OC-114"
1260,1823-11-06,"Th OC-114"
1821,1823-11-07,"Th OC-114"
706,1823-11-07,"Th OC-114"
228,1823-11-07,"Th OC-114"
1260,1823-11-08,"Th OC-114"
1110,1823-11-08,"Th OC-114"
1655,1823-11-09,"Th OC-114"
1821,1823-11-09,"Th OC-114"
976,1823-11-09,"Th OC-114"
1797,1823-11-10,"Th OC-114"
1260,1823-11-10,"Th OC-114"
1856,1823-11-11,"Th OC-114"
968,1823-11-11,"Th OC-114"
449,1823-11-12,"Th OC-114"
1260,1823-11-12,"Th OC-114"
1649,1823-11-13,"Th OC-114"
1403,1823-11-13,"Th OC-114"
436,1823-11-13,"Th OC-114"
1280,1823-11-14,"Th OC-114"
651,1823-11-14,"Th OC-114"
1803,1823-11-15,"Th OC-114"
1260,1823-11-15,"Th OC-114"
1856,1823-11-16,"Th OC-114"
1244,1823-11-16,"Th OC-114"
979,1823-11-16,"Th OC-114"
1144,1823-11-17,"Th OC-114"
1260,1823-11-17,"Th OC-114"
932,1823-11-18,"Th OC-114"
990,1823-11-18,"Th OC-114"
1260,1823-11-19,"Th OC-114"
1310,1823-11-19,"Th OC-114"
1821,1823-11-20,"Th OC-114"
1664,1823-11-20,"Th OC-114"
1244,1823-11-21,"Th OC-114"
1260,1823-11-21,"Th OC-114"
1820,1823-11-22,"Th OC-114"
1280,1823-11-22,"Th OC-114"
1108,1823-11-23,"Th OC-114"
968,1823-11-23,"Th OC-114"
549,1823-11-23,"Th OC-114"
284,1823-11-24,"Th OC-114"
1260,1823-11-24,"Th OC-114"
1820,1823-11-25,"Th OC-114"
952,1823-11-25,"Th OC-114"
1280,1823-11-26,"Th OC-114"
964,1823-11-26,"Th OC-114"
1260,1823-11-27,"Th OC-114"
640,1823-11-27,"Th OC-114"
1550,1823-11-28,"Th OC-114"
1244,1823-11-28,"Th OC-114"
1260,1823-11-29,"Th OC-114"
876,1823-11-29,"Th OC-114"
1821,1823-11-30,"Th OC-114"
140,1823-11-30,"Th OC-114"
16,1823-11-30,"Th OC-114"
1260,1823-12-01,"Th OC-114"
952,1823-12-01,"Th OC-114"
1527,1823-12-02,"Th OC-114"
990,1823-12-02,"Th OC-114"
1821,1823-12-03,"Th OC-114"
1260,1823-12-03,"Th OC-114"
1621,1823-12-04,"Th OC-114"
979,1823-12-04,"Th OC-114"
978,1823-12-05,"Th OC-114"
1260,1823-12-05,"Th OC-114"
1110,1823-12-06,"Th OC-114"
651,1823-12-06,"Th OC-114"
1044,1823-12-07,"Th OC-114"
729,1823-12-07,"Th OC-114"
1086,1823-12-08,"Th OC-114"
1664,1823-12-08,"Th OC-114"
1266,1823-12-09,"Th OC-114"
1144,1823-12-09,"Th OC-114"
964,1823-12-09,"Th OC-114"
1244,1823-12-10,"Th OC-114"
225,1823-12-10,"Th OC-114"
16,1823-12-10,"Th OC-114"
1878,1823-12-11,"Th OC-114"
1470,1823-12-11,"Th OC-114"
622,1823-12-12,"Th OC-114"
140,1823-12-12,"Th OC-114"
1108,1823-12-13,"Th OC-114"
1244,1823-12-13,"Th OC-114"
706,1823-12-13,"Th OC-114"
1170,1823-12-14,"Th OC-114"
622,1823-12-14,"Th OC-114"
29,1823-12-14,"Th OC-114"
1550,1823-12-16,"Th OC-114"
