from,to,source
1280,1820-03-26,"TH OC-90"
1081,1820-04-03,"TH OC-90"
1639,1820-04-03,"TH OC-90"
640,1820-04-03,"TH OC-90"
1527,1820-04-04,"TH OC-90"
284,1820-04-04,"TH OC-90"
976,1820-04-04,"TH OC-90"
1208,1820-04-05,"TH OC-90"
157,1820-04-05,"TH OC-90"
1310,1820-04-06,"TH OC-90"
694,1820-04-06,"TH OC-90"
573,1820-04-07,"TH OC-90"
729,1820-04-07,"TH OC-90"
1383,1820-04-08,"TH OC-90"
37,1820-04-08,"TH OC-90"
544,1820-04-09,"TH OC-90"
968,1820-04-09,"TH OC-90"
219,1820-04-10,"TH OC-90"
640,1820-04-10,"TH OC-90"
1403,1820-04-11,"TH OC-90"
1108,1820-04-11,"TH OC-90"
360,1820-04-11,"TH OC-90"
1550,1820-04-12,"TH OC-90"
1452,1820-04-12,"TH OC-90"
762,1820-04-13,"TH OC-90"
219,1820-04-13,"TH OC-90"
1639,1820-04-14,"TH OC-90"
694,1820-04-14,"TH OC-90"
1559,1820-04-15,"TH OC-90"
225,1820-04-15,"TH OC-90"
936,1820-04-15,"TH OC-90"
573,1820-04-16,"TH OC-90"
332,1820-04-16,"TH OC-90"
740,1820-04-17,"TH OC-90"
932,1820-04-17,"TH OC-90"
965,1820-04-17,"TH OC-90"
1878,1820-04-18,"TH OC-90"
1550,1820-04-18,"TH OC-90"
1527,1820-04-19,"TH OC-91"
284,1820-04-19,"TH OC-91"
932,1820-04-19,"TH OC-91"
1596,1820-04-20,"TH OC-91"
762,1820-04-20,"TH OC-91"
225,1820-04-21,"TH OC-91"
1055,1820-04-21,"TH OC-91"
965,1820-04-21,"TH OC-91"
219,1820-04-22,"TH OC-91"
968,1820-04-22,"TH OC-91"
640,1820-04-23,"TH OC-91"
157,1820-04-23,"TH OC-91"
1310,1820-04-24,"TH OC-91"
990,1820-04-24,"TH OC-91"
1550,1820-04-25,"TH OC-91"
544,1820-04-25,"TH OC-91"
1108,1820-04-26,"TH OC-91"
1713,1820-04-26,"TH OC-91"
16,1820-04-26,"TH OC-91"
1878,1820-04-27,"TH OC-91"
964,1820-04-27,"TH OC-91"
965,1820-04-28,"TH OC-91"
729,1820-04-28,"TH OC-91"
1856,1820-04-29,"TH OC-91"
1470,1820-04-29,"TH OC-91"
219,1820-04-30,"TH OC-91"
990,1820-04-30,"TH OC-91"
1856,1820-05-01,"TH OC-91"
1310,1820-05-01,"TH OC-91"
1878,1820-05-02,"TH OC-91"
1596,1820-05-02,"TH OC-91"
1856,1820-05-03,"TH OC-91"
284,1820-05-03,"TH OC-91"
543,1820-05-04,"TH OC-91"
219,1820-05-04,"TH OC-91"
1108,1820-05-05,"TH OC-91"
1856,1820-05-05,"TH OC-91"
1208,1820-05-06,"TH OC-91"
157,1820-05-06,"TH OC-91"
964,1820-05-07,"TH OC-91"
29,1820-05-07,"TH OC-91"
1856,1820-05-08,"TH OC-91"
1470,1820-05-08,"TH OC-91"
717,1820-05-09,"Th OC-91"
990,1820-05-09,"Th OC-91"
1856,1820-05-10,"Th OC-91"
965,1820-05-10,"Th OC-91"
544,1820-05-11,"Th OC-91"
762,1820-05-11,"Th OC-91"
1856,1820-05-12,"Th OC-91"
1559,1820-05-12,"Th OC-91"
1550,1820-05-13,"Th OC-91"
543,1820-05-13,"Th OC-91"
1208,1820-05-14,"Th OC-91"
990,1820-05-14,"Th OC-91"
1856,1820-05-15,"Th OC-91"
640,1820-05-15,"Th OC-91"
1527,1820-05-16,"Th OC-91"
284,1820-05-16,"Th OC-91"
717,1820-05-16,"Th OC-91"
1856,1820-05-17,"Th OC-91"
932,1820-05-17,"Th OC-91"
219,1820-05-18,"Th OC-91"
968,1820-05-18,"Th OC-91"
1856,1820-05-19,"Th OC-91"
1055,1820-05-19,"Th OC-91"
61,1820-05-20,"Th OC-91"
965,1820-05-20,"Th OC-91"
640,1820-05-20,"Th OC-91"
1878,1820-05-22,"Th OC-91"
822,1820-05-22,"Th OC-91"
1856,1820-05-23,"Th OC-91"
979,1820-05-23,"Th OC-91"
1596,1820-05-24,"TH OC-91"
968,1820-05-24,"Th OC-91"
1108,1820-05-25,"Th OC-91"
1856,1820-05-25,"Th OC-91"
964,1820-05-26,"Th OC-91"
157,1820-05-26,"Th OC-91"
1856,1820-05-27,"Th OC-91"
284,1820-05-27,"Th OC-91"
408,1820-05-28,"Th OC-91"
640,1820-05-28,"Th OC-91"
1856,1820-05-29,"Th OC-91"
16,1820-05-29,"Th OC-91"
1550,1820-05-30,"Th OC-91"
968,1820-05-30,"Th OC-91"
1856,1820-05-31,"Th OC-91"
153,1820-05-31,"Th OC-91"
219,1820-06-01,"Th OC-91"
640,1820-06-01,"Th OC-91"
1649,1820-06-02,"Th OC-91"
1856,1820-06-02,"Th OC-91"
225,1820-06-03,"Th OC-91"
936,1820-06-03,"Th OC-91"
965,1820-06-03,"Th OC-91"
157,1820-06-04,"Th OC-91"
29,1820-06-04,"Th OC-91"
1856,1820-06-05,"Th OC-91"
979,1820-06-05,"Th OC-91"
673,1820-06-06,"Th OC-91"
288,1820-06-06,"Th OC-91"
1856,1820-06-07,"Th OC-91"
543,1820-06-07,"Th OC-91"
1741,1820-06-08,"Th OC-91"
225,1820-06-08,"Th OC-91"
36,1820-06-08,"Th OC-91"
1856,1820-06-09,"Th OC-91"
640,1820-06-09,"Th OC-91"
1280,1820-06-10,"Th OC-91"
1310,1820-06-10,"Th OC-91"
36,1820-06-10,"Th OC-91"
1403,1820-06-11,"Th OC-91"
517,1820-06-11,"Th OC-91"
740,1820-06-12,"Th OC-91"
822,1820-06-12,"Th OC-91"
36,1820-06-12,"Th OC-91"
1266,1820-06-13,"Th OC-91"
1856,1820-06-13,"Th OC-91"
1649,1820-06-14,"Th OC-91"
1144,1820-06-14,"Th OC-91"
36,1820-06-14,"Th OC-91"
1856,1820-06-15,"Th OC-91"
936,1820-06-15,"Th OC-91"
1470,1820-06-16,"Th OC-91"
284,1820-06-16,"Th OC-91"
36,1820-06-16,"Th OC-91"
1383,1820-06-17,"Th OC-91"
343,1820-06-17,"Th OC-91"
544,1820-06-18,"Th OC-91"
968,1820-06-18,"Th OC-91"
1266,1820-06-19,"Th OC-91"
